 id simbad_type simbad_ctlg simbad_sptype simbad_redshift
252 S82sub8_59.12_cand1321 Unknown Unknown Unknown Unknown
253 S82sub8_59.12_cand4889 Unknown Unknown Unknown Unknown
254 S82sub8_59.12_cand6784 Unknown Unknown Unknown Unknown
255 S82sub8_59.12_cand3150 Unknown Unknown Unknown Unknown
256 S82sub8_59.12_cand2486 Unknown Unknown Unknown Unknown
257 S82sub8_59.12_cand1397 Unknown Unknown Unknown Unknown
258 S82sub8_59.12_cand5821 Unknown Unknown Unknown Unknown
259 S82sub8_59.12_cand1097 Unknown Unknown Unknown Unknown
260 S82sub8_59.12_cand7152 Unknown Unknown Unknown Unknown
261 S82sub8_59.12_cand2535 Unknown Unknown Unknown Unknown
262 S82sub8_59.12_cand5168 Unknown Unknown Unknown Unknown
263 S82sub8_59.12_cand1173 Unknown Unknown Unknown Unknown
264 S82sub8_59.12_cand719 Unknown Unknown Unknown Unknown
265 S82sub8_59.12_cand4514 Unknown Unknown Unknown Unknown
266 S82sub8_59.12_cand230 Unknown Unknown Unknown Unknown
267 S82sub8_59.12_cand6681 Unknown Unknown Unknown Unknown
268 S82sub8_59.12_cand4276 Unknown Unknown Unknown Unknown
269 S82sub8_59.12_cand6598 Unknown Unknown Unknown Unknown
270 S82sub8_59.12_cand7128 Unknown Unknown Unknown Unknown
271 S82sub8_59.12_cand4310 Unknown Unknown Unknown Unknown
272 S82sub8_59.12_cand434 Unknown Unknown Unknown Unknown
273 S82sub8_59.12_cand5688 Unknown Unknown Unknown Unknown
274 S82sub8_59.12_cand2028 Unknown Unknown Unknown Unknown
275 S82sub8_59.12_cand6280 Unknown Unknown Unknown Unknown
276 S82sub8_59.12_cand631 Unknown Unknown Unknown Unknown
277 S82sub8_59.12_cand528 Unknown Unknown Unknown Unknown
278 S82sub8_59.12_cand4596 Unknown Unknown Unknown Unknown
279 S82sub8_59.12_cand5393 Unknown Unknown Unknown Unknown
280 S82sub8_59.12_cand6482 Unknown Unknown Unknown Unknown
281 S82sub8_59.12_cand828 Unknown Unknown Unknown Unknown
282 S82sub8_59.12_cand5827 Unknown Unknown Unknown Unknown
283 S82sub8_59.12_cand4972 Galaxy "SDSS J150759.87+085111.5" Unknown 0.0934700
284 S82sub8_59.12_cand2148 Unknown Unknown Unknown Unknown
